BUILDER_NAME;INPUT_FILE;OUTPUT_FILE;GRID_SIZE;ISO_LEVEL;FIELD_ELEMENTS;NUM_THREADS;ELAPSED_TIME;TOTAL_TRIANGLES;OUTPUT_SIZE
OpenMP Loop;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/010.pts;;64;0.15;10;1;60;7680;
OpenMP Loop;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/020.pts;;64;0.15;20;1;104;13016;
OpenMP Loop;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/040.pts;;64;0.15;40;1;138;27344;
OpenMP Loop;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/080.pts;;64;0.15;80;1;177;53520;
OpenMP Loop;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/160.pts;;64;0.15;160;1;306;92648;
OpenMP Loop;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/320.pts;;64;0.15;320;1;545;67036;
OpenMP Loop;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/642.pts;;64;0.15;642;1;1060;61952;
OpenMP Loop;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/010.pts;;64;0.15;10;2;30;7680;
OpenMP Loop;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/020.pts;;64;0.15;20;2;52;13016;
OpenMP Loop;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/040.pts;;64;0.15;40;2;69;27344;
OpenMP Loop;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/080.pts;;64;0.15;80;2;91;53520;
OpenMP Loop;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/160.pts;;64;0.15;160;2;155;92648;
OpenMP Loop;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/320.pts;;64;0.15;320;2;275;67036;
OpenMP Loop;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/642.pts;;64;0.15;642;2;531;61952;
OpenMP Loop;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/010.pts;;64;0.15;10;4;15;7680;
OpenMP Loop;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/020.pts;;64;0.15;20;4;26;13016;
OpenMP Loop;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/040.pts;;64;0.15;40;4;35;27344;
OpenMP Loop;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/080.pts;;64;0.15;80;4;46;53520;
OpenMP Loop;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/160.pts;;64;0.15;160;4;80;92648;
OpenMP Loop;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/320.pts;;64;0.15;320;4;138;67036;
OpenMP Loop;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/642.pts;;64;0.15;642;4;266;61952;
OpenMP Loop;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/010.pts;;64;0.15;10;8;8;7680;
OpenMP Loop;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/020.pts;;64;0.15;20;8;13;13016;
OpenMP Loop;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/040.pts;;64;0.15;40;8;18;27344;
OpenMP Loop;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/080.pts;;64;0.15;80;8;25;53520;
OpenMP Loop;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/160.pts;;64;0.15;160;8;43;92648;
OpenMP Loop;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/320.pts;;64;0.15;320;8;71;67036;
OpenMP Loop;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/642.pts;;64;0.15;642;8;134;61952;
OpenMP Loop;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/010.pts;;64;0.15;10;16;4;7680;
OpenMP Loop;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/020.pts;;64;0.15;20;16;7;13016;
OpenMP Loop;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/040.pts;;64;0.15;40;16;11;27344;
OpenMP Loop;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/080.pts;;64;0.15;80;16;19;53520;
OpenMP Loop;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/160.pts;;64;0.15;160;16;34;92648;
OpenMP Loop;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/320.pts;;64;0.15;320;16;38;67036;
OpenMP Loop;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/642.pts;;64;0.15;642;16;68;61952;
OpenMP Loop;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/010.pts;;64;0.15;10;32;5;7680;
